id_municipio,fold,alunos_2023
2101905,2,119
2101939,2,28
2101970,1,111
2102002,0,500
2102036,2,399
2102077,1,77
2102101,1,293
2102150,1,102
2102200,2,277
2102309,0,257
2102325,2,709
2102358,1,156
2102374,2,87
2102408,1,61
2102507,0,100
2102556,1,189
2102606,1,237
2102705,0,204
2102754,0,82
2102804,2,232
2102903,1,361
2103000,0,1565
2103109,0,73
2103125,2,72
2103158,1,168
2103174,1,278
2103208,0,819
2103257,2,108
2103307,0,1233
2103406,2,507
2103505,1,385
2103554,0,183
2103604,0,603
2103703,0,293
2103752,2,229
2103802,2,194
2103901,0,142
2104008,1,171
2104057,1,477
2104073,0,138
2104081,2,66
2104099,0,210
2104107,2,156
2104206,2,232
2104305,1,161
2104404,2,105
2104503,0,78
2104552,2,326
2104602,1,139
2104628,1,107
2104651,1,83
2104677,2,352
2104701,2,53
2104800,2,1028
2104909,0,143
2105005,2,303
2105104,1,206
2105153,0,194
2105203,2,118
2105302,0,2978
2105351,1,172
2105401,1,750
2105427,2,287
2105450,2,102
2105476,1,115
2105500,0,288
2105609,1,185
2105658,0,77
2105708,0,462
2105807,1,54
2105906,2,164
2105922,1,103
2105948,1,67
2105963,0,134
2105989,0,77
2106003,1,106
2106102,0,132
2106201,2,108
2106300,1,170
2106326,0,337
2106359,0,36
2106375,2,137
2106409,2,246
2106508,0,205
2106607,0,289
2106631,0,66
2106672,1,75
2106706,0,213
2106755,1,282
2106805,2,106
2106904,0,295
2107001,1,122
2107100,1,193
2107209,0,126
2107258,2,84
2107308,0,62
2107357,0,150
2107407,2,150
2107456,1,95
2107506,1,1603
2107605,2,120
2107704,1,246
2107803,2,354
2107902,2,242
2108009,2,218
2108058,0,116
2108108,0,252
2108207,2,304
2108256,0,210
2108306,0,324
2108405,1,63
2108454,2,241
2108504,2,369
2108603,1,606
2108702,1,228
2108801,0,135
2108900,1,95
2109007,1,305
2109056,2,81
2109106,0,407
2109205,1,57
2109239,0,56
2109270,2,273
2109304,0,118
2109403,1,104
2109452,0,409
2109502,1,264
2109551,0,87
2109601,2,457
2109700,0,61
2109759,0,55
2109809,0,225
2109908,0,863
2110005,0,734
2110039,0,249
2110104,2,201
2110203,1,426
2110237,1,63
2110278,2,111
2110302,1,120
2110401,2,156
2110500,2,258
2110609,0,301
2110658,0,108
2110708,1,342
2110807,0,48
2110856,1,147
2110906,2,154
2111003,2,89
2111029,1,141
2111052,2,118
2111078,2,166
2111102,1,290
2111201,1,2000
2111250,2,63
2111300,0,6441
2111409,2,151
2111508,1,444
2111532,2,183
2111573,0,83
2111607,2,257
2111631,1,46
2111672,0,44
2111706,1,114
2111722,1,50
2111748,2,121
2111763,1,159
2111789,1,98
2111805,0,246
2111904,0,129
2111953,1,39
2112001,1,119
2112100,2,287
2112209,0,1915
2112233,1,278
2112274,2,81
2112308,1,307
2112407,2,146
2112456,0,259
2112506,2,542
2112605,1,299
2112704,2,661
2112803,2,519
2112852,1,184
2112902,1,227
2113009,2,375
2114007,1,471
2200053,1,60
2200103,2,88
2200202,1,220
2200251,0,36
2200277,1,59
2200301,1,96
2200400,0,558
2200459,1,69
2200509,1,201
2200608,1,86
2200707,2,113
2200806,1,52
2200905,2,58
2200954,0,34
2201002,2,44
2201051,1,111
2201101,1,116
2201150,1,268
2201176,2,62
2201200,2,622
2201309,1,36
2201408,2,55
2201507,1,199
2201556,0,44
2201572,1,36
2201606,2,142
2201705,1,61
2201739,1,102
2201770,0,45
2201804,1,22
2201903,1,219
2201919,1,48
2201929,2,79
2201945,1,86
2201960,2,117
2201988,2,56
2202000,0,274
2202026,0,84
2202059,0,96
2202075,1,15
2202083,2,125
2202091,2,38
2202109,2,30
2202117,0,32
2202133,2,94
2202174,0,81
2202208,1,434
2202251,2,42
2202307,0,249
2202406,2,103
2202455,1,37
2202505,0,105
2202539,1,81
2202554,1,65
2202604,2,194
2202653,2,60
2202703,1,301
2202711,2,67
2202729,1,79
2202737,0,77
2202752,0,66
2202778,1,85
2202802,1,60
2202851,0,49
2202901,1,284
2203008,0,101
2203107,0,61
2203206,2,144
2203230,1,61
2203255,2,62
2203271,0,74
2203305,2,134
2203354,1,89
2203404,1,66
2203420,1,48
2203453,2,43
2203503,1,79
2203602,1,42
2203701,2,423
2203750,1,34
2203800,0,56
2203859,1,21
2203909,2,533
2204006,2,60
2204105,1,61
2204154,2,32
2204204,0,76
2204303,2,115
2204352,0,60
2204402,1,121
2204501,1,117
2204550,2,42
2204600,1,51
2204659,0,145
2204709,2,172
2204808,0,115
2204907,1,120
2205003,2,119
2205102,0,55
2205151,0,86
2205201,0,124
2205250,2,24
2205276,2,41
2205300,1,38
2205359,1,39
2205409,0,151
2205458,1,45
2205508,2,462
2205516,2,42
2205524,2,75
2205532,0,56
2205540,1,35
2205557,1,102
2205565,2,84
2205573,0,78
2205581,2,52
2205599,2,31
2205607,0,51
2205706,1,388
2205805,1,167
2205854,0,96
2205904,0,69
2205953,0,177
2206001,2,71
2206050,1,55
2206100,0,149
2206209,0,386
2206308,0,30
2206357,1,16
2206407,0,102
2206506,0,98
2206605,0,107
2206654,1,34
2206670,2,96
2206696,0,75
2206704,0,80
2206720,1,163
2206753,1,23
2206803,0,130
2206902,0,72
2206951,2,42
2207009,2,355
2207108,1,24
2207207,0,49
2207306,1,54
2207355,1,35
2207405,0,24
2207504,0,143
2207553,0,22
2207603,1,122
2207702,0,1485
2207751,1,31
2207777,0,47
2207793,0,29
2207801,2,214
2207850,2,34
2207900,0,418
2207934,1,25
2207959,0,57
2208007,1,548
2208106,1,68
2208205,2,236
2208304,1,389
2208403,2,731
2208502,0,136
2208551,2,31
2208601,1,49
2208650,0,114
2208700,2,92
2208809,1,195
2208858,0,64
2208874,2,41
2208908,1,77
2209005,2,80
2209104,1,46
2209153,2,42
2209203,2,108
2209302,0,36
2209351,0,36
2209377,1,59
2209401,2,61
2209450,0,26
2209500,0,45
2209559,1,81
2209609,2,27
2209658,0,33
2209708,0,57
2209757,1,34
2209807,1,50
2209856,1,48
2209872,2,86
2209906,1,67
2209955,1,50
2209971,0,135
2210003,0,307
2210052,1,78
2210102,0,25
2210201,2,66
2210300,1,58
2210359,1,26
2210375,0,31
2210383,0,29
2210391,1,25
2210409,0,135
2210508,1,193
2210607,2,385
2210623,2,58
2210631,1,62
2210656,2,61
2210706,1,167
2210805,1,153
2210904,2,37
2210938,0,60
2210953,0,32
2210979,2,24
2211001,1,7346
2211100,0,552
2211209,1,316
2211308,1,137
2211357,1,48
2211407,2,40
2211506,0,33
2211605,1,25
2211704,1,31
2300101,0,106
2300150,1,205
2300200,1,891
2300309,0,454
2300408,2,145
2300507,2,130
2300606,1,107
2300705,1,169
2300754,2,679
2300804,2,77
2300903,2,152
2301000,1,1212
2301109,2,868
2301208,1,325
2301257,0,145
2301307,1,349
2301406,1,176
2301505,1,82
2301604,2,288
2301703,2,254
2301802,0,45
2301851,0,254
2301901,0,732
2301950,0,331
2302008,0,198
2302057,2,267
2302107,2,372
2302206,2,743
2302305,0,396
2302404,0,466
2302503,0,605
2302602,2,773
2302701,2,267
2302800,2,930
2302909,0,199
2303006,1,211
2303105,2,229
2303204,0,347
2303303,1,191
2303402,2,262
2303501,2,905
2303600,2,83
2303659,1,125
2303709,0,4170
2303808,2,204
2303907,1,180
2303931,0,179
2303956,1,301
2304004,1,233
2304103,2,853
2304202,1,1294
2304236,1,265
2304251,1,506
2304269,1,74
2304277,0,72
2304285,0,1112
2304301,0,255
2304350,0,235
2304400,2,18937
2304459,2,236
2304509,1,252
2304608,2,75
2304657,0,186
2304707,2,750
2304806,2,78
2304905,1,118
2304954,0,246
2305001,2,611
2305100,2,71
2305209,0,194
2305233,1,962
2305266,1,160
2305308,0,315
2305332,0,164
2305357,1,294
2305407,1,611
2305506,1,778
2305605,0,166
2305654,2,162
2305704,0,134
2305803,1,485
2305902,1,446
2306009,2,148
2306108,2,323
2306207,2,105
2306256,0,795
2306306,1,546
2306405,2,1536
2306504,1,205
2306553,0,515
2306603,0,258
2306702,1,207
2306801,1,126
2306900,0,384
2307007,2,323
2307106,2,378
2307205,0,114
2307254,0,453
2307304,1,2481
2307403,0,266
2307502,2,276
2307601,0,602
2307635,2,243
2307650,2,3150
2307700,0,1159
2307809,2,484
2307908,0,129
2308005,0,500
2308104,1,548
2308203,2,242
2308302,0,264
2308351,2,159
2308377,0,183
2308401,2,407
2308500,1,470
2308609,2,200
2308708,0,588
2308807,2,95
2308906,0,279
2309003,2,185
2309102,1,119
2309201,1,217
2309300,1,333
2309409,2,419
2309458,1,300
2309508,2,227
2309607,0,771
2309706,0,972
2309805,0,126
2309904,0,90
2310001,1,101
2310100,1,129
2310209,1,567
2310258,0,458
2310308,2,289
2310407,2,81
2310506,0,356
2310605,2,116
2310704,1,414
2310803,0,242
2310852,1,299
2310902,0,178
2310951,2,103
2311009,0,169
2311108,0,236
2311207,1,110
2311231,1,43
2311264,0,213
2311306,0,847
2311355,0,186
2311405,0,989
2311504,0,238
2311603,0,393
2311702,0,202
2311801,1,904
2311900,1,172
2311959,2,264
2312007,0,353
2312106,0,251
2312205,1,387
2312304,0,598
2312403,1,1010
2312502,1,48
2312601,2,115
2312700,1,211
2312809,2,104
2312908,2,2482
2313005,0,217
2313104,1,310
2313203,2,251
2313252,0,82
2313302,2,575
2313351,1,250
2313401,0,1068
2313500,0,875
2313559,2,167
2313609,1,466
2313708,1,67
2313757,1,261
2313807,1,276
2313906,1,216
2313955,1,236
2314003,2,453
2314102,2,912
2400109,0,101
2400208,0,363
2400307,0,81
2400406,0,39
2400505,0,106
2400604,1,33
2400703,0,173
2400802,0,107
2400901,2,40
2401008,2,209
2401107,1,178
2401206,0,137
2401305,0,85
2401404,2,54
2401453,1,186
2401503,2,22
2401602,2,45
2401651,2,20
2401701,0,86
2401800,2,95
2401859,1,81
2401909,1,53
2402006,2,360
2402105,1,65
2402204,2,326
2402303,2,148
2402402,2,84
2402501,1,102
2402600,0,716
2402709,0,92
2402808,2,64
2402907,0,38
2403004,1,79
2403103,1,266
2403202,0,59
2403251,2,1469
2403301,0,50
2403400,1,69
2403509,0,84
2403608,0,568
2403707,2,44
2403756,1,39
2403806,2,51
2403905,1,20
2404002,1,27
2404101,0,30
2404200,1,417
2404309,1,101
2404408,1,91
2404507,0,153
2404606,2,129
2404705,0,137
2404804,0,20
2404853,1,72
2404903,1,53
2405009,0,111
2405108,0,95
2405207,1,49
2405306,1,55
2405405,2,78
2405504,1,25
2405603,1,120
2405702,0,76
2405801,2,238
2405900,0,13
2406007,2,24
2406106,1,124
2406155,0,11
2406205,0,51
2406304,2,49
2406403,0,24
2406502,1,208
2406601,2,80
2406700,0,115
2406809,2,33
2406908,0,35
2407005,2,106
2407104,2,533
2407203,2,193
2407252,2,55
2407302,1,57
2407401,1,84
2407500,1,88
2407609,2,34
2407708,2,126
2407807,0,206
2407906,2,37
2408003,2,1772
2408102,2,4107
2408201,1,334
2408300,0,200
2408409,2,28
2408508,1,42
2408607,2,35
2408706,1,15
2408805,0,59
2408904,0,240
2408953,0,106
2409100,2,99
2409209,2,23
2409308,1,80
2409332,1,43
2409407,2,233
2409506,0,40
2409605,2,19
2409704,2,56
2409803,1,96
2409902,2,151
2410009,2,35
2410108,1,91
2410207,0,89
2410256,2,72
2410306,2,107
2410405,1,113
2410504,2,39
2410603,1,23
2410702,2,34
2410801,2,34
2410900,2,60
2411007,1,64
2411056,1,39
2411106,2,33
2411205,0,369
2411403,0,102
2411429,1,30
2411502,2,125
2411601,0,51
2411700,0,42
2411809,0,26
2411908,1,44
2412005,1,788
2412104,0,59
2412203,0,539
2412302,0,100
2412401,0,48
2412500,1,245
2412559,0,86
2412609,1,124
2412708,0,41
2412807,2,32
2412906,2,76
2413003,1,52
2413102,2,72
2413201,2,58
2413300,1,52
2413359,2,79
2413409,2,37
2413508,0,60
2413557,2,50
2413607,0,27
2413706,1,50
2413805,2,22
2413904,1,89
2414001,0,129
2414100,0,108
2414159,2,67
2414209,1,197
2414308,0,24
2414407,2,344
2414456,1,34
2414506,0,45
2414605,0,93
2414704,0,30
2414753,0,17
2414803,2,135
2414902,1,32
2415008,0,46
2500106,0,106
2500205,2,64
2500304,0,300
2500403,0,201
2500502,1,117
2500536,2,70
2500577,0,38
2500601,0,216
2500700,0,129
2500734,2,45
2500775,2,63
2500809,1,126
2500908,1,70
2501005,1,180
2501104,2,215
2501153,0,12
2501203,0,117
2501302,0,242
2501351,1,70
2501401,0,107
2501500,2,105
2501534,0,46
2501575,2,50
2501609,1,37
2501708,1,75
2501807,0,547
2501906,2,132
2502003,1,58
2502052,0,44
2502102,1,31
2502151,1,96
2502201,1,35
2502300,2,47
2502409,0,77
2502508,2,136
2502607,2,67
2502706,1,33
2502805,2,136
2502904,2,58
2503001,2,285
2503100,1,65
2503209,2,552
2503308,0,82
2503407,2,36
2503506,0,150
2503555,1,115
2503605,2,46
2503704,2,551
2503753,0,26
2503803,0,66
2503902,1,84
2504009,1,3044
2504033,2,71
2504074,1,43
2504108,2,26
2504157,1,76
2504207,0,51
2504306,0,217
2504355,2,68
2504405,1,171
2504504,2,51
2504603,1,430
2504702,1,30
2504801,1,106
2504850,2,16
2504900,0,182
2505006,2,94
2505105,2,185
2505204,2,98
2505238,1,30
2505279,2,14
2505303,0,21
2505352,2,53
2505402,0,88
2505501,2,46
2505600,0,48
2505709,1,98
2505808,2,37
2505907,0,36
2506004,2,268
2506103,1,64
2506202,2,23
2506251,2,65
2506301,0,449
2506400,2,116
2506509,0,42
2506608,2,46
2506707,2,94
2506806,1,155
2506905,0,144
2507002,1,140
2507101,2,174
2507200,1,99
2507309,1,121
2507408,1,30
2507507,1,5509
2507606,1,66
2507705,1,233
2507804,2,71
2507903,2,125
2508000,2,108
2508109,0,44
2508208,2,54
2508307,0,240
2508406,1,33
2508505,1,60
2508554,0,49
2508604,1,203
2508703,1,10
2508802,2,74
2508901,0,459
2509008,2,123
2509057,2,123
2509107,0,190
2509156,0,65
2509206,1,111
2509305,2,163
2509339,2,47
2509370,2,15
2509396,2,86
2509404,0,141
2509503,0,59
2509602,1,53
2509701,1,365
2509800,1,53
2509909,0,77
2510006,0,52
2510105,0,120
2510204,2,86
2510303,2,44
2510402,1,47
2510501,2,49
2510600,0,29
2510659,0,11
2510709,1,29
2510808,1,770
2510907,1,110
2511004,0,36
2511103,2,66
2511202,1,391
2511301,1,71
2511400,0,200
2511509,1,117
2511608,2,111
2511707,1,66
2511806,1,65
2511905,1,202
2512002,2,219
2512036,0,48
2512077,2,24
2512101,1,285
2512200,2,48
2512309,2,183
2512408,1,181
2512507,1,634
2512606,0,13
2512705,2,170
2512721,1,41
2512747,0,36
2512754,0,43
2512762,0,48
2512788,1,28
2512804,1,67
2512903,2,209
2513000,2,11
2513109,0,56
2513158,0,76
2513208,1,76
2513307,2,53
2513356,1,26
2513406,2,184
2513505,0,39
2513604,0,52
2513653,2,27
2513703,0,1014
2513802,2,32
2513851,0,28
2513901,2,284
2513927,1,56
2513943,2,44
2513968,0,18
2513984,0,46
2514008,2,42
2514107,0,49
2514206,1,102
2514305,1,55
2514404,0,39
2514453,2,53
2514503,2,165
2514552,1,17
2514602,1,27
2514651,1,20
2514701,2,35
2514800,1,35
2514909,2,84
2515005,1,42
2515104,1,86
2515203,1,41
2515302,0,377
2515401,1,112
2515500,0,122
2515609,2,23
2515708,1,32
2515807,0,47
2515906,1,41
2515930,2,57
2515971,1,61
2516003,0,217
2516102,2,143
2516151,2,38
2516201,1,590
2516300,0,134
2516409,0,41
2516508,2,191
2516607,2,104
2516706,2,154
2516755,1,29
2516805,1,67
2516904,2,117
2517001,0,113
2517100,0,25
2517209,1,57
2517407,0,34
2600054,2,779
2600104,1,418
2600203,0,208
2600302,1,203
2600401,2,199
2600500,1,499
2600609,1,146
2600708,2,318
2600807,1,102
2600906,0,172
2601003,1,93
2601052,1,242
2601102,2,1068
2601201,1,744
2601300,2,144
2601409,2,435
2601508,1,102
2601607,0,177
2601706,0,672
2601805,2,88
2601904,0,475
2602001,0,336
2602100,0,418
2602209,0,357
2602308,2,404
2602407,2,104
2602506,1,108
2602605,0,409
2602704,2,164
2602803,1,522
2602902,1,2211
2603009,1,295
2603108,1,216
2603207,0,376
2603306,1,61
2603405,0,71
2603454,2,1231
2603504,0,163
2603603,0,66
2603702,0,281
2603801,0,207
2603900,1,281
2603926,1,64
2604007,2,600
2604106,1,3330
2604155,0,88
2604205,1,277
2604304,0,125
2604403,2,166
2604502,2,282
2604601,1,254
2604700,2,163
2604809,0,104
2604908,0,79
2605004,2,328
2605103,2,347
2605152,1,153
2605202,0,456
2605301,2,322
2605400,0,211
2605459,2,41
2605509,0,94
2605608,2,162
2605707,0,252
2605806,2,100
2605905,1,183
2606002,0,1544
2606101,1,241
2606200,1,733
2606309,0,122
2606408,1,446
2606507,1,185
2606606,1,279
2606705,1,61
2606804,1,1142
2606903,0,97
2607000,0,272
2607109,2,56
2607208,1,1430
2607307,1,429
2607406,1,41
2607505,1,242
2607604,2,207
2607653,2,311
2607703,0,107
2607752,0,346
2607802,1,146
2607901,2,4898
2607950,1,79
2608008,2,177
2608057,0,79
2608107,1,187
2608206,0,114
2608255,0,175
2608305,1,206
2608404,1,148
2608453,1,127
2608503,0,127
2608602,0,86
2608701,2,90
2608750,0,327
2608800,1,483
2608909,1,399
2609006,0,236
2609105,0,129
2609154,2,189
2609204,2,102
2609303,2,205
2609402,1,457
2609501,2,236
2609600,0,2783
2609709,2,211
2609808,0,144
2609907,2,643
2610004,2,341
2610103,2,62
2610202,0,280
2610301,2,138
2610400,2,190
2610509,2,208
2610608,0,590
2610707,2,1843
2610806,0,156
2610905,1,548
2611002,2,414
2611101,1,4872
2611200,2,107
2611309,0,154
2611408,0,71
2611507,0,212
2611533,2,142
2611606,1,10162
2611705,1,164
2611804,1,239
2611903,2,233
2612000,2,75
2612109,1,50
2612208,2,756
2612307,0,148
2612406,2,181
2612455,0,138
2612471,0,98
2612505,2,1065
2612554,0,150
2612604,1,410
2612703,0,121
2612802,2,132
2612901,1,98
2613008,0,664
2613107,1,353
2613206,2,237
2613305,0,258
2613404,0,277
2613503,0,484
2613602,0,288
2613701,1,885
2613800,2,161
2613909,2,951
2614006,2,258
2614105,2,275
2614204,2,431
2614303,0,104
2614402,1,87
2614501,1,304
2614600,1,318
2614709,2,117
2614808,0,187
2614857,0,206
2615003,1,277
2615102,0,88
2615201,0,148
2615300,0,443
2615409,2,543
2615508,2,133
2615607,0,424
2615706,1,132
2615805,2,200
2615904,2,132
2616001,0,142
2616100,2,88
2616183,2,79
2616209,2,215
2616308,2,314
2616407,2,1014
2616506,0,163
2700102,2,195
2700201,0,140
2700300,2,2388
2700409,1,441
2700508,1,189
2700607,0,104
2700706,0,151
2700805,1,56
2700904,1,119
2701001,0,268
2701100,0,114
2701209,0,152
2701308,1,224
2701357,2,74
2701407,1,443
2701506,1,53
2701605,1,187
2701704,2,183
2701803,1,175
2701902,1,82
2702009,1,84
2702108,2,188
2702207,0,75
2702306,1,810
2702355,0,301
2702405,2,646
2702504,1,77
2702553,0,122
2702603,2,270
2702702,0,55
2702801,2,140
2702900,0,422
2703007,0,96
2703106,1,263
2703205,1,270
2703304,2,226
2703403,2,78
2703502,0,74
2703601,1,119
2703700,0,72
2703759,1,123
2703809,0,296
2703908,2,47
2704005,0,277
2704104,0,159
2704203,0,358
2704302,1,6364
2704401,2,229
2704500,1,405
2704609,2,106
2704708,0,845
2704807,1,119
2704906,1,39
2705002,1,135
2705101,2,297
2705200,1,229
2705309,0,71
2705408,0,114
2705507,2,389
2705606,1,122
2705705,0,248
2705804,0,127
2705903,2,26
2706000,1,202
2706109,2,102
2706208,0,56
2706307,0,673
2706406,2,279
2706422,2,129
2706448,1,195
2706505,2,196
2706604,2,83
2706703,1,658
2706802,2,218
2706901,0,552
2707008,1,31
2707107,2,313
2707206,1,259
2707305,2,290
2707404,0,135
2707503,2,160
2707602,2,206
2707701,1,1390
2707800,1,105
2707909,0,113
2708006,0,549
2708105,2,101
2708204,1,61
2708303,0,193
2708402,1,438
2708501,1,399
2708600,1,570
2708709,0,155
2708808,2,318
2708907,2,280
2708956,0,170
2709004,2,67
2709103,2,249
2709152,2,430
2709202,0,188
2709301,2,773
2709400,1,252
2800100,1,17
2800209,1,103
2800308,2,3910
2800407,1,116
2800506,0,203
2800605,1,305
2800670,0,184
2800704,0,77
2801009,1,126
2801108,0,22
2801207,0,432
2801306,2,364
2801405,2,179
2801504,1,165
2801603,2,36
2801702,1,194
2801900,2,34
2802007,0,61
2802106,0,533
2802205,2,71
